,제목,별점,사람,기타정보,상영시간
791,스칼렛 거리,3.7,110,['1945 ・ 범죄 ・ 미국'],1시간 43분
796,드림 러버,2.8,96,['1994 ・ 드라마 ・ 미국'],1시간 43분
798,캡틴 코낭,3.3,16,['1996 ・ 전쟁 ・ 프랑스'],2시간 9분
799,제너럴,3.8,"2,912",['1926 ・ 전쟁 ・ 미국'],1시간 30분
800,판도라,3.3,34,['1951 ・ 영국'],2시간 2분
801,빨간 모자,3.5,21,['1997 ・ 코미디 ・ 미국'],12분
802,,0,0,[],
804,Depth Solitude,2.8,2,['1995 ・ 드라마'],
806,The Saint Inspector,0,0,['1996 ・ 애니메이션'],
810,라빠,3.3,78,['1995 ・ 드라마 ・ 프랑스'],1시간 55분
818,,0,0,[],
819,포스트맨,2.7,592,['1997 ・ 액션 ・ 미국'],2시간 57분
821,유태교 살인 사건,2.9,26,['1992 ・ 로맨스 ・ 미국'],1시간 50분
825,부귀핍인,4.0,1,['1987 ・ 홍콩'],
832,바그다드 카페,3.9,7만,['1987 ・ 드라마 ・ 독일(구 서독) ・ 미국'],
834,여인의 향기,4.1,10만,['1992 ・ 드라마 ・ 미국'],
836,어니스트 7 - 슬램 덩크,3.0,152,['1995 ・ 스포츠 ・ 미국'],1시간 33분
842,광대의 꿈,3.3,16,['1996 ・ 다큐멘터리 ・ 한국'],8분
844,Tropic Thunder: Rain of Madness,0,0,['2008 ・ 코미디 ・ 미국'],
848,마틸다,3.8,21만,['1996 ・ 키즈 ・ 미국'],
850,루시아,3.3,58,['1968 ・ 드라마 ・ 쿠바'],2시간 40분
851,,0,0,[],
853,특명 델타 포스,0.5,1,['1997 ・ 액션 ・ 미국 ・ 네덜란드'],1시간 33분
854,태어나기는 했지만,4.0,883,['1932 ・ 드라마 ・ 일본'],1시간 40분
856,뱀파이어 해결사,2.7,184,['1992 ・ 액션 ・ 미국'],1시간 26분
858,,0,0,[],
860,키프 쿨,3.6,51,['1997 ・ 중국 ・ 홍콩'],1시간 33분
863,,0,0,[],
864,밀고자,3.0,1,['1998 ・ 프랑스'],1시간 51분
866,예수의 삶,3.5,81,['1997 ・ 드라마 ・ 프랑스'],1시간 36분
869,만약,3.4,597,['1968 ・ 드라마 ・ 영국'],1시간 51분
871,,0,0,[],
881,마빈의 방,3.3,"6,319",['1996 ・ 드라마 ・ 미국'],1시간 38분
884,헤드,3.8,10,['1968 ・ 판타지 ・ 미국'],1시간 26분
885,지. 아이. 제인,3.2,3만,['1997 ・ 액션 ・ 미국'],
886,잠복근무,3.3,510,['1987 ・ 로맨틱코미디 ・ 미국'],1시간 56분
892,꼬마 유령 캐스퍼 2 - 새로운 모험,2.8,67,['1997 ・ 미국'],1시간 30분
