제목,개봉일,국가,장르,별점,네티즌수
비는 사랑을 타고,1994-12-03,한국,코미디/드라마,5.0,1
생과부 위자료 청구소송,1998-08-01,한국,코미디,7.4,8
퇴마록,1998-08-15,한국,스릴러/판타지,5.0,42
엑스트라,1998-08-08,한국,코미디,8.1,36
기막힌 사내들,1998-08-22,한국,코미디,8.5,17
남자의 향기,1998-09-12,한국,로맨스/멜로/액션/드라마,7.4,21
너에게 나를 보낸다,1994-10-01,한국,로맨스/멜로/성인/드라마,6.7,24
실락원,1998-09-12,한국,로맨스/멜로,5.0,3
어린 연인,1994-10-28,한국,로맨스/멜로,7.8,5
결혼이야기 2,1994-10-08,한국,코미디,5.6,5
파란대문,1998-10-31,한국,드라마,7.2,58
커피 카피 코피,1994-10-21,한국,드라마,8.5,2
약속,1998-11-14,한국,로맨스/멜로,8.6,77
조용한 가족,1998-04-25,한국,코미디,7.6,96
처녀들의 저녁식사,1998-10-03,한국,드라마,6.9,21
붉은 마피아,1995-03-11,한국,액션,5.0,2
미란다,1995-04-01,한국,성인,10.0,1
복카치오 '94,1994-11-05,한국,성인,0.0,1
붉은매,1995-08-05,한국,애니메이션,7.8,5
블루 시걸,1994-11-05,한국,액션/애니메이션,4.7,6
빛은 내 가슴에,1995-10-21,한국,드라마,7.0,3
삘구,1997-07-28,한국,드라마,10.0,1
소나기,,한국,애니메이션,10.0,1
소낙비,1995-10-14,한국,시대극/드라마,4.0,1
그리움엔 이유가 없다,1994-11-19,한국,로맨스/멜로,10.0,1
라이 따이한,1994-12-17,한국,로맨스/멜로,9.5,2
안개 속에서 2분 더,1995-11-01,"홍콩, 한국",액션/드라마,8.5,2
애마부인 11,1995-01-28,한국,성인,1.0,1
마누라 죽이기,1994-12-17,한국,코미디,6.7,36
젊은 남자,1994-12-17,한국,드라마/로맨스/멜로,7.8,23
위대한 헌터 G.J.,1995-02-11,한국,액션,4.5,2
마스카라,1995-04-01,한국,성인,5.5,2
손톱,1995-01-28,한국,스릴러,7.2,13
복카치오 '93,1993-04-03,한국,성인,0.0,1
과부삼대,1984-03-01,한국,로맨스/멜로,7.5,2
광동관소화자,1983-03-19,한국,액션,7.5,2
첫사랑,1993-01-22,한국,로맨스/멜로/드라마,7.2,11
광동살무사,1983-08-13,한국,액션,5.0,2
사랑의 종합병원,1993-05-01,한국,코미디/드라마,5.7,3
대명,1993-03-01,한국,액션,5.8,6
내가 마지막 본 흥남,1984-04-14,한국,드라마,6.3,3
오렌지 나라,1993-02-27,한국,로맨스/멜로,10.0,1
서편제,1993-04-10,한국,드라마,8.9,138
다른 시간 다른 장소,1983-08-19,한국,로맨스/멜로,7.5,2
살어리랏다,1993-08-21,한국,시대극,8.2,23
대학들개,1983-12-09,한국,드라마,7.0,2
대학신입생 오달자의 봄,1983-02-26,한국,드라마,10.0,1
에로스,1993-04-03,한국,성인,5.0,2
몽녀한,1984-08-18,한국,범죄,7.5,2
차이나타운 2,1993-05-08,한국,액션,9.0,1
K.K. 훼미리 리스트,1997-11-08,한국,액션,6.0,1
북소림 남태권,1984-02-01,한국,액션,7.0,2
사랑하는 사람아(속),1984-04-07,한국,드라마,5.5,2
웨스턴 애비뉴,1993-04-03,한국,드라마,4.0,3
무엇에 쓰는 물건인고,1993-05-01,한국,코미디/로맨스/멜로,6.4,5
사라의 계절,1993-05-08,한국,성인/로맨스/멜로,5.5,2
소림과 태극문,1983-06-04,한국,액션,10.0,1
신입사원 얄개,1983-03-17,한국,드라마,4.0,1
부활의 노래,1991-03-01,한국,드라마,6.6,9
아내,1983-04-30,한국,로맨스/멜로,7.5,2
48+1,1995-11-04,한국,범죄/드라마,7.0,15
꽃을 든 남자,1997-11-08,한국,코미디/로맨스/멜로/드라마,5.8,6
아담이 눈뜰 때,1993-05-08,한국,드라마,6.1,7
